Step,Average_Price,Total_Production,Total_Demand,Renewable_Ratio,Market_Concentration
0,78.415,400.0,232,1.0,1.0
1,78.415,400.0,232,1.0,1.0
2,78.415,400.0,232,1.0,1.0
3,78.415,400.0,232,1.0,1.0
4,78.415,400.0,232,1.0,1.0
