Step,Average_Price,Total_Production,Total_Demand,Renewable_Ratio,Market_Concentration
0,155.87694,12.263688432800592,489.6336175344632,0.0,1.0
1,248.52734856,477.3699291016626,489.6336175344632,0.0,1.0
2,329.14036021344,12.26368843280062,489.6336175344632,0.0,1.0
3,403.6999143158746,477.3699291016626,489.6336175344632,0.0,1.0
4,475.8040876462807,12.26368843280062,489.6336175344632,0.0,1.0
5,547.8113497955353,477.3699291016626,489.6336175344632,0.0,1.0
6,621.4279057140212,12.26368843280062,489.6336175344632,0.0,1.0
7,698.0136800141036,477.3699291016626,489.6336175344632,0.0,1.0
8,778.7461150454465,12.26368843280062,489.6336175344632,0.0,1.0
9,864.7117000014055,477.3699291016626,489.6336175344632,0.0,1.0
