Step,AgentID,Profit_Margin,Energy_Procured,Renewable_Energy_Procured_(%),Energy_Procurement_Costs,Revenues,Energy_Distributed
0,utility_0,0.6992843414432557,304,0.0,11460.800000000001,38111.75,410.68696120689657
0,utility_1,0.5656532394871627,1057,0.0,42604.9,98089.59999999999,1057.0
1,utility_0,0.6992843414432557,0,0.0,0.0,38111.75,410.68696120689657
1,utility_1,-0.36734507210631984,0,0.0,0.0,31158.85,335.7634698275862
2,utility_0,0.05624881670590953,0,0.0,0.0,12143.87881347811,130.86076307627275
2,utility_1,-0.36734507210631984,0,0.0,0.0,31158.85,335.7634698275862
3,utility_0,-0.588715349443786,0,0.0,0.0,7213.878813478111,77.73576307627275
3,utility_1,-2.583188178895663,0,0.0,0.0,11890.22118652189,128.1273834754514
4,utility_0,-0.588715349443786,0,0.0,0.0,7213.878813478111,77.73576307627275
4,utility_1,-6.760596732180915,0,0.0,0.0,5489.9,59.158405172413794
