Step,AgentID,Energy_Consumption,Energy_Needs,Energy_Cost
0,consumer_0,32.9862530030842,185.89260805079323,3142.0
0,consumer_1,51.29310344827586,127.1382371422215,4760.0
0,consumer_2,53.12499999999999,94.26659480060468,4930.0
0,consumer_3,47.41379310344827,256.43173786640295,4400.0
0,consumer_4,50.959051724137936,243.74501380664086,4729.0
1,consumer_0,10.775862068965518,216.60346999993143,1000.0
1,consumer_1,10.775862068965518,130.6933255504274,1000.0
1,consumer_2,10.775862068965518,106.15213054064647,1000.0
1,consumer_3,10.775862068965518,293.33550304330396,1000.0
1,consumer_4,10.775862068965518,255.82614862248104,1000.0
2,consumer_0,10.775862068965518,241.8876875793395,1000.0
2,consumer_1,10.775862068965518,147.2937106765655,1000.0
2,consumer_2,10.775862068965518,119.55410094942685,1000.0
2,consumer_3,10.775862068965518,347.42888864899703,1000.0
2,consumer_4,10.775862068965518,277.8171136054036,1000.0
3,consumer_0,10.775862068965518,269.7257168995778,1000.0
3,consumer_1,10.775862068965518,156.85449759150717,1000.0
3,consumer_2,11.424105769257993,142.03386480972566,1000.0
3,consumer_3,10.775862068965518,390.9158764779284,1000.0
3,consumer_4,10.775862068965518,280.31747164854676,1000.0
4,consumer_0,10.775862068965518,304.1784101460661,1000.0
4,consumer_1,11.383978636631882,165.46500900929212,1000.0
4,consumer_2,10.775862068965518,144.82325071387172,1000.0
4,consumer_3,10.775862068965518,406.4552966467097,1000.0
4,consumer_4,11.578849685258469,313.2359482289498,1000.0
