,model_statistics,price_volatility,agent_performance,agenttype_statistics
Average_Price_statistics,"{'mean': 92.8, 'std': 0.0, 'min': 92.8, 'max': 92.8}",0.0,,
Average_Spot_Price_statistics,"{'mean': 40.99333333333334, 'std': 0.19061304607327859, 'min': 40.9, 'max': 41.333333333333336}",0.0,,
Total_Production_statistics,"{'mean': 3098.4, 'std': 535.2576949470226, 'min': 2168.0, 'max': 3404.0}",0.0,,
Total_Demand_statistics,"{'mean': 1873.4396540876896, 'std': 280.0030375866606, 'min': 1527.6908774941335, 'max': 2219.224906831599}",0.0,,
Renewable_Ratio_statistics,"{'mean': 0.0, 'std': 0.0, 'min': 0.0, 'max': 0.0}",0.0,,
Market_Concentration_statistics,"{'mean': 0.32151595276361966, 'std': 0.024820998188751508, 'min': 0.29744393308495876, 'max': 0.35054852384026747}",0.0,,
Supply_Demand_Ratio_statistics,"{'mean': 1.6623011919137636, 'std': 0.26619389729753534, 'min': 1.40229139931699, 'max': 2.0280705566481}",0.0,,
avg_final_resources,,0.0,inf,
avg_final_profit,,0.0,-8505.21333333333,
resource_inequality,,0.0,,
profit_inequality,,0.0,-8.474917751905956,
consumeragent_model_data,,0.0,,"{'Energy_Consumption_statistics': {'mean': 18.13415162170034, 'std': 15.183939850913932, 'min': 10.775862068965518, 'max': 53.12499999999999}, 'Energy_Needs_statistics': {'mean': 224.72286452221445, 'std': 90.03101725254184, 'min': 94.26659480060468, 'max': 406.4552966467097}, 'Energy_Cost_statistics': {'mean': 1678.44, 'std': 1416.1138748937765, 'min': 1000.0, 'max': 4930.0}}"
prosumeragent_model_data,,0.0,,"{'Energy_Consumption_statistics': {'mean': 29.47977047594367, 'std': 34.25588669732609, 'min': 5.35237068965517, 'max': 161.45}, 'Energy_Needs_statistics': {'mean': 149.96506629532345, 'std': 32.396754078173096, 'min': 102.41082682032888, 'max': 213.55321495886378}, 'Energy_Cost_statistics': {'mean': 8078.15812507825, 'std': 3475.05831739832, 'min': 3551.75, 'max': 14007.52118652189}, 'Energy_Production_statistics': {'mean': 25.86252198362341, 'std': 18.69585749124823, 'min': 4.131718814295991e-31, 'max': 70.1502666820626}, 'Revenues_statistics': {'mean': 901.40182, 'std': 1684.8775875677525, 'min': 0.0, 'max': 5497.0}, 'Capacity_Utilization_statistics': {'mean': 0.5564427056865268, 'std': 0.24304748274134635, 'min': 1.1166807606205382e-32, 'max': 1.0}}"
energyproduceragent_model_data,,0.0,,"{'Market_Share_statistics': {'mean': 0.16177815214954805, 'std': 0.2624373804428456, 'min': 0.0, 'max': 0.7174226253139413}, 'Energy_Volume_Produced_statistics': {'mean': 1032.8, 'std': 513.9609768399598, 'min': 0.0, 'max': 1596.0}, 'Energy_Volume_Sold_statistics': {'mean': 272.2, 'std': 439.3932829969719, 'min': 0.0, 'max': 1096.0}, 'Revenues_statistics': {'mean': 3604.38, 'std': 10937.733583216803, 'min': 0.0, 'max': 41319.200000000004}, 'Operational_Margin_statistics': {'mean': 0.2986483021483021, 'std': 0.09830733234297899, 'min': 0.21621621621621623, 'max': 0.43243243243243246}, 'Operational_Costs_statistics': {'mean': 8341.16, 'std': 12768.37216822433, 'min': 10.32, 'max': 31815.92}, 'Capacity_Utilization_statistics': {'mean': 0.7785988942091044, 'std': 0.32058059717020115, 'min': 0.0, 'max': 1.0}}"
utilityagent_model_data,,0.0,,"{'Profit_Margin_statistics': {'mean': -0.9235435015097206, 'std': 2.263561215268121, 'min': -6.760596732180915, 'max': 0.6992843414432557}, 'Energy_Procured_statistics': {'mean': 136.1, 'std': 337.3809090298053, 'min': 0.0, 'max': 1057.0}, 'Renewable_Energy_Procured_(%)_statistics': {'mean': 0.0, 'std': 0.0, 'min': 0.0, 'max': 0.0}, 'Energy_Procurement_Costs_statistics': {'mean': 5406.570000000001, 'std': 13557.35736704941, 'min': 0.0, 'max': 42604.9}, 'Revenues_statistics': {'mean': 28058.25576269562, 'std': 27925.976668613544, 'min': 5489.9, 'max': 98089.59999999999}, 'Energy_Distributed_statistics': {'mean': 302.35189399456493, 'std': 300.9264727221287, 'min': 59.158405172413794, 'max': 1057.0}}"
regulatoragent_model_data,,0.0,,"{'Nb_Price_Intervention_statistics': {'mean': 0.0, 'std': 0.0, 'min': 0.0, 'max': 0.0}, 'Nb_Oligopoly_Intervention_statistics': {'mean': 0.0, 'std': 0.0, 'min': 0.0, 'max': 0.0}, 'Nb_Renewable_Intervention_statistics': {'mean': 2.0, 'std': 0.0, 'min': 2.0, 'max': 2.0}}"
