Step,AgentID,Production_Type,Market_Share,Energy_Volume_Produced,Energy_Volume_Sold,Revenues,Operational_Margin,Operational_Costs,Capacity_Utilization
0,producer_0,oil,0.0,0.0,0,0.0,0.43243243243243246,10.32,0.0
0,producer_1,oil,0.7174226253139413,876.0,1096,41319.200000000004,0.23076923076923084,31805.92,0.5488721804511278
0,producer_2,oil,0.17346441214251318,1292.0,265,12746.5,0.23076923076923084,9830.84,1.0
1,producer_0,oil,0.0,516.0,0,0.0,0.43243243243243246,10.32,1.0
1,producer_1,oil,0.652986289684582,1596.0,1096,0.0,0.23076923076923084,31815.92,1.0
1,producer_2,oil,0.15788445872848017,1292.0,265,0.0,0.22916666666666663,9830.84,1.0
2,producer_0,oil,0.0,516.0,0,0.0,0.43243243243243246,10.32,0.5078740157480315
2,producer_1,oil,0.5837665599012339,1596.0,1096,0.0,0.23076923076923084,31815.92,1.0
2,producer_2,oil,0.14114793647246987,1292.0,265,0.0,0.22916666666666663,9830.84,1.0
3,producer_0,oil,0.0,516.0,0,0.0,0.43243243243243246,20.32,0.5078740157480315
3,producer_1,oil,0.0,1596.0,0,0.0,0.23076923076923084,31.92,1.0
3,producer_2,oil,0.0,1292.0,0,0.0,0.22916666666666663,25.84,1.0
4,producer_0,oil,0.0,516.0,0,0.0,0.43243243243243246,20.32,0.3403693931398417
4,producer_1,oil,0.0,1596.0,0,0.0,0.21621621621621623,31.92,1.0
4,producer_2,oil,0.0,1000.0,0,0.0,0.26,25.84,0.7739938080495357
