Step,Average_Price,Average_Spot_Price,Total_Production,Total_Demand,Renewable_Ratio,Market_Concentration
0,92.8,40.93333333333334,2168.0,1527.6908774941335,0.0,0.35054852384026747
1,92.8,40.9,3404.0,1678.4425910832076,0.0,0.3458901234567901
2,92.8,40.9,3404.0,1877.4627998312026,0.0,0.309816110256403
3,92.8,40.9,3404.0,2064.377095198305,0.0,0.3038810731796788
4,92.8,41.333333333333336,3112.0,2219.224906831599,0.0,0.29744393308495876
