Step,AgentID,Production_Type,Energy_Consumption,Energy_Needs,Energy_Cost,Energy_Production,Revenues,Capacity_Utilization
0,prosumer_0,wind,50.00502127578918,145.94430484871125,4556.05,13.143032664767809,4556.05,0.6917385613035689
0,prosumer_1,solar,53.108836206896555,115.3638318580066,4928.5,33.237187908435544,0.0,0.6647437581687109
0,prosumer_2,solar,38.27316810344828,102.41082682032888,3551.75,0.6876092657040607,0.0,0.0528930204387739
0,prosumer_3,wind,38.557112068965516,144.929083992017,3578.1,18.0,0.0,1.0
0,prosumer_4,wind,77.95689655172414,111.56863830840655,7234.400000000001,53.75707923538998,3142.0,0.7466261004915276
1,prosumer_0,wind,50.0,153.44610610859235,9209.778813478111,9.100679382965065,0.0,0.47898312541921395
1,prosumer_1,solar,53.108836206896555,133.34422455004247,9857.0,35.085922348823054,4653.728813478111,0.604929695669363
1,prosumer_2,solar,5.3809267241379315,103.55911046257448,4051.1,7.967110766830762,0.0,0.3793862269919411
1,prosumer_3,wind,10.766163793103448,163.39145765502454,4577.2,10.188168573100484,0.0,0.39185263742694165
1,prosumer_4,wind,10.737068965517231,122.09111455018343,8230.8,39.053339825241736,0.0,0.5424074975728019
2,prosumer_0,wind,22.33922243782835,169.60935710673928,11110.2,15.951840764106176,1900.4211865218892,0.5908089171891177
2,prosumer_1,solar,13.144707041789989,147.8449276493682,11076.82881347811,19.065730527826894,0.0,0.3287194918590844
2,prosumer_2,solar,5.376616379310345,108.97400408461014,4550.05,17.79187154882478,0.0,0.6135128120284407
2,prosumer_3,wind,5.373922413793103,171.5362348689305,5075.9,21.920626885980273,0.0,0.8431010340761643
2,prosumer_4,wind,10.737068965517242,145.51677466182207,9227.199999999999,70.1502666820626,0.0,0.9743092594730915
3,prosumer_0,wind,25.852060199589328,185.50627927849456,13509.27118652189,17.64435317961076,0.0,0.5041243765603074
3,prosumer_1,solar,21.520474137931036,157.93142078249812,13073.92881347811,21.282148907687418,1000.0,0.32245680163162754
3,prosumer_2,solar,5.372306034482759,117.75211648531429,5048.6,4.131718814295991e-31,0.0,1.1166807606205382e-32
3,prosumer_3,wind,11.009606156250996,201.8851537295645,6074.6,20.4631218347883,998.7000000000002,0.6018565245525971
3,prosumer_4,wind,10.737068965517242,161.45469749514777,10223.6,51.76101799767426,0.0,0.6470127249709282
4,prosumer_0,wind,5.369073275862069,213.55321495886378,14007.52118652189,12.589857558865077,0.0,0.2927873850898855
4,prosumer_1,solar,5.35237068965517,168.41188828449512,13570.628813478112,53.565229621391474,0.0,0.723854454343128
4,prosumer_2,solar,5.996223755590002,121.78187856094321,5546.75,25.61827686867926,498.15,0.6923858613156557
4,prosumer_3,wind,39.4695115489953,207.65484208268995,9571.6,21.295782574382986,5497.0,0.507042442247214
4,prosumer_4,wind,161.45,173.66516819971744,10512.5955,57.24279466744661,288.9955,0.7155349333430826
