Step,Average_Price,Total_Production,Total_Demand,Renewable_Ratio,Market_Concentration
0,27.04,472.0,197,0.0,1.0
1,27.56,591.0,197,0.0,1.0
2,29.2,591.0,197,0.0,1.0
