Step,Average_Price,Total_Production,Total_Demand,Renewable_Ratio,Market_Concentration
0,147.27246185273967,2423.858022916316,11652.225025147392,0.9592296705172855,0.11427036503201816
1,223.21448916465798,6773.596833177365,11652.225025147392,0.1828809397807967,0.11427036503201816
2,290.1259698574929,5722.464679956991,11652.225025147392,0.22340024136999137,0.11427036503201816
3,351.8676927172212,5805.573968253449,11652.225025147392,0.2144455540245451,0.11427036503201816
4,411.0832336587388,5833.950130602208,11652.225025147392,0.2146856973904543,0.11427036503201816
5,469.70960497648423,5826.32919697703,11652.225025147392,0.21525927519561155,0.11427036503201816
6,529.2588639390785,5825.556344481359,11652.225025147392,0.21512757409447125,0.11427036503201816
7,590.980470895478,5826.185878732077,11652.225025147392,0.215112328238208,0.11427036503201816
8,655.9601651797838,5826.138728814836,11652.225025147392,0.21512382893286056,0.11427036503201816
9,725.184032048791,5826.103185068944,11652.225025147392,0.21512294417371872,0.11427036503201816
