Step,Average_Price,Total_Production,Total_Demand,Renewable_Ratio,Market_Concentration
0,155.87694,11.728748093779958,617.322587131722,0.0,1.0
1,248.52734856,605.5938390379421,617.322587131722,0.0,1.0
2,329.14036021344,11.728748093779927,617.322587131722,0.0,1.0
3,403.6999143158746,605.5938390379421,617.322587131722,0.0,1.0
4,475.8040876462807,11.728748093779927,617.322587131722,0.0,1.0
5,547.8113497955353,605.5938390379421,617.322587131722,0.0,1.0
6,621.4279057140212,11.728748093779927,617.322587131722,0.0,1.0
7,698.0136800141036,605.5938390379421,617.322587131722,0.0,1.0
8,778.7461150454465,11.728748093779927,617.322587131722,0.0,1.0
9,864.7117000014055,605.5938390379421,617.322587131722,0.0,1.0
