,model_statistics,price_volatility,agent_performance,agenttype_statistics
Average_Price_statistics,"{'mean': 88.0, 'std': 0.0, 'min': 88.0, 'max': 88.0}",0.0,,
Total_Production_statistics,"{'mean': 1023.0, 'std': 0.0, 'min': 1023.0, 'max': 1023.0}",0.0,,
Total_Demand_statistics,"{'mean': 1023.0, 'std': 0.0, 'min': 1023.0, 'max': 1023.0}",0.0,,
Renewable_Ratio_statistics,"{'mean': 0.0, 'std': 0.0, 'min': 0.0, 'max': 0.0}",0.0,,
Market_Concentration_statistics,"{'mean': 0.6510824214184787, 'std': 0.04314443552456086, 'min': 0.5739033088714588, 'max': 0.6703771995552337}",0.0,,
Supply_Demand_Ratio_statistics,"{'mean': 1.0, 'std': 0.0, 'min': 1.0, 'max': 1.0}",0.0,,
avg_final_resources,,0.0,inf,
avg_final_profit,,0.0,-8104.100170180166,
resource_inequality,,0.0,,
profit_inequality,,0.0,-1.3635377164939033,
consumeragent_model_data,,0.0,,"{'Energy_Consumption_statistics': {'mean': 8.591104842686711, 'std': 9.128049923407234, 'min': 0.0, 'max': 21.068181818181817}, 'Energy_Cost_statistics': {'mean': 260.76318247288503, 'std': 606.8779497754185, 'min': 0.0, 'max': 1853.9999999999998}}"
prosumeragent_model_data,,0.0,,"{'Energy_Consumption_statistics': {'mean': 0.0, 'std': 0.0, 'min': 0.0, 'max': 0.0}, 'Energy_Cost_statistics': {'mean': 0.0, 'std': 0.0, 'min': 0.0, 'max': 0.0}, 'Energy_Production_statistics': {'mean': 39.514367545928316, 'std': 40.535148677615084, 'min': 5.758146896466946e-31, 'max': 121.44450879515303}, 'Revenues_statistics': {'mean': 3.8719707881416943, 'std': 14.996078379474387, 'min': 0.0, 'max': 58.07956182212541}, 'Capacity_Utilization_statistics': {'mean': 0.3752695645498729, 'std': 0.3407883981615654, 'min': 5.9653827491311126e-33, 'max': 0.829464172302878}}"
energyproduceragent_model_data,,0.0,,"{'Market_Share_statistics': {'mean': 0.1, 'std': 0.21131763046864432, 'min': 0.0, 'max': 0.530791788856305}, 'Energy_Volume_Produced_statistics': {'mean': 1668.6, 'std': 1737.0821128163939, 'min': 600.0, 'max': 4894.0}, 'Energy_Volume_Sold_statistics': {'mean': 102.3, 'std': 216.1779359694231, 'min': 0.0, 'max': 543.0}, 'Revenues_statistics': {'mean': 2971.8, 'std': 6274.834850416384, 'min': 0.0, 'max': 15600.0}, 'Operational_Margin_statistics': {'mean': 0.24870771735163372, 'std': 0.05816663360917253, 'min': 0.16666666666666663, 'max': 0.3162393162393162}, 'Operational_Costs_statistics': {'mean': 0.0, 'std': 0.0, 'min': 0.0, 'max': 0.0}, 'Capacity_Utilization_statistics': {'mean': 0.6905199134169508, 'std': 0.27674411978324, 'min': 0.30608908868001633, 'max': 1.0}}"
utilityagent_model_data,,0.0,,"{'Profit_Margin_statistics': {'mean': 0.2, 'std': 0.42163702135578396, 'min': 0.0, 'max': 1.0}, 'Energy_Procured_statistics': {'mean': 102.3, 'std': 216.1779359694231, 'min': 0.0, 'max': 543.0}, 'Renewable_Energy_Procured_(%)_statistics': {'mean': 0.0, 'std': 0.0, 'min': 0.0, 'max': 0.0}, 'Energy_Procurement_Costs_statistics': {'mean': 2971.8, 'std': 6274.834850416384, 'min': 0.0, 'max': 15600.0}, 'Revenues_statistics': {'mean': 646.1, 'std': 1603.6572403242671, 'min': 0.0, 'max': 5026.0}, 'Energy_Distributed_statistics': {'mean': 7.342045454545454, 'std': 18.22337773095758, 'min': 0.0, 'max': 57.11363636363636}}"
regulatoragent_model_data,,0.0,,"{'Nb_Price_Intervention_statistics': {'mean': 0.0, 'std': 0.0, 'min': 0.0, 'max': 0.0}, 'Nb_Oligopoly_Intervention_statistics': {'mean': 2.0, 'std': 0.0, 'min': 2.0, 'max': 2.0}, 'Nb_Renewable_Intervention_statistics': {'mean': 2.0, 'std': 0.0, 'min': 2.0, 'max': 2.0}}"
