Step,Average_Price,Total_Production,Total_Demand,Renewable_Ratio,Market_Concentration
0,88.0,1023,1023,0.0,0.5739033088714588
1,88.0,1023,1023,0.0,0.6703771995552337
2,88.0,1023,1023,0.0,0.6703771995552337
3,88.0,1023,1023,0.0,0.6703771995552337
4,88.0,1023,1023,0.0,0.6703771995552337
