Step,AgentID,Production_Type,Energy_Consumption,Energy_Cost,Energy_Production,Revenues,Capacity_Utilization
0,prosumer_0,solar,0.0,0,5.635611442743582,0.0,0.03860007837495604
0,prosumer_1,solar,0.0,0,6.144344231605046e-31,0.0,5.9653827491311126e-33
0,prosumer_2,solar,0.0,0,5.758146896466946e-31,0.0,1.1516293792933892e-32
1,prosumer_0,solar,0.0,0,71.44101529545568,0.0,0.36449497599722286
1,prosumer_1,solar,0.0,0,60.50796909600922,0.0,0.39547692219613867
1,prosumer_2,solar,0.0,0,29.322151745033086,0.0,0.5864430349006617
2,prosumer_0,solar,0.0,0,2.5870848427230162e-30,0.0,1.3199412462872532e-32
2,prosumer_1,solar,0.0,0,121.44450879515303,0.0,0.7937549594454446
2,prosumer_2,solar,0.0,0,36.59686234254057,0.0,0.7319372468508114
3,prosumer_0,solar,0.0,0,72.36822457252853,0.0,0.3692256355741252
3,prosumer_1,solar,0.0,0,110.60716652171321,0.0,0.7229226570046615
3,prosumer_2,solar,0.0,0,41.473208615143896,0.0,0.829464172302878
4,prosumer_0,solar,0.0,0,2.602405209045901,0.0,0.013277577597172964
4,prosumer_1,solar,0.0,0,2.293632140423556,58.07956182212541,0.014991059741330432
4,prosumer_2,solar,0.0,0,38.42275741313447,0.0,0.7684551482626893
