Step,AgentID,Production_Type,Market_Share,Energy_Volume_Produced,Energy_Volume_Sold,Revenues,Operational_Margin,Operational_Costs,Capacity_Utilization
0,producer_0,oil,0.46920821114369504,604.0,480,15600.0,0.23076923076923073,0,0.8
0,producer_1,oil,0.530791788856305,894.0,543,14118.0,0.23076923076923073,0,0.308914996544575
1,producer_0,oil,0.0,604.0,0,0.0,0.23076923076923073,0,0.8
1,producer_1,oil,0.0,1498.0,0,0.0,0.3162393162393162,0,0.30608908868001633
2,producer_0,oil,0.0,600.0,0,0.0,0.19041450777202074,0,0.7947019867549668
2,producer_1,oil,0.0,1498.0,0,0.0,0.31034482758620685,0,0.30608908868001633
3,producer_0,oil,0.0,600.0,0,0.0,0.19041450777202074,0,0.7947019867549668
3,producer_1,oil,0.0,4894.0,0,0.0,0.31034482758620685,0,1.0
4,producer_0,oil,0.0,600.0,0,0.0,0.16666666666666663,0,0.7947019867549668
4,producer_1,oil,0.0,4894.0,0,0.0,0.31034482758620685,0,1.0
