Step,Average_Price,Total_Production,Total_Demand,Renewable_Ratio,Market_Concentration
0,42.14400000000001,337.6,180,1.0,1.0
1,56.015,337.6,180,1.0,1.0
2,66.645,360.0,180,1.0,1.0
3,66.645,360.0,180,1.0,1.0
4,66.645,360.0,180,1.0,1.0
