Step,AgentID,Production_Type,Energy_Consumption,Energy_Cost,Energy_Production,Revenues,Capacity_Utilization
0,prosumer_0,solar,0.0,0.0,23.366296314887517,0.0,0.2995679014729169
0,prosumer_1,solar,0.0,0.0,7.739664162168475e-31,0.0,7.166355705711551e-33
0,prosumer_2,solar,0.0,0.0,90.72914888875125,0.0,0.6089204623406125
1,prosumer_0,solar,7.329458988909579,632.0464957185701,67.96121619307664,0.0,0.8712976435009825
1,prosumer_1,solar,4.030681818181818,354.7,46.89288686620015,0.0,0.4341933969092607
1,prosumer_2,solar,0.0,0.0,133.32945898890958,1309.1498567818294,0.8948285838181851
2,prosumer_0,solar,9.21279350204774,1448.2999999999997,8.830473827494273e-31,0.0,6.898807677729901e-33
2,prosumer_1,solar,4.030681818181818,354.7,86.55344119095662,0.0,0.8014207517681169
2,prosumer_2,solar,23.742043827066244,2089.2998567818295,35.95259728842474,816.2535042814297,0.18066631803228514
3,prosumer_0,solar,9.21279350204774,1448.2999999999997,111.0247322703981,0.0,0.6237344509572927
3,prosumer_1,solar,4.030681818181818,354.7,5.219976167131917,0.0,0.048333112658628864
3,prosumer_2,solar,23.742043827066244,2089.2998567818295,61.816438887779654,0.0,0.31063537129537516
4,prosumer_0,solar,9.21279350204774,1448.2999999999997,105.68983810553198,0.0,0.4635519215154911
4,prosumer_1,solar,4.030681818181818,354.7,11.23976349540073,0.0,0.10407188421667343
4,prosumer_2,solar,23.742043827066244,2089.2998567818295,87.53670701464796,0.0,0.43988294982235154
