Step,Average_Price,Total_Production,Total_Demand,Renewable_Ratio,Market_Concentration
0,88.0,915,915,0.0,0.32533541967795443
1,88.0,915,915,0.0,0.32533541967795443
2,88.0,915,915,0.0,0.290787802006064
3,88.0,915,915,0.0,0.5133369617524282
4,88.0,915,915,0.0,0.6392960690932388
