Step,AgentID,Profit_Margin,Energy_Procured,Renewable_Energy_Procured_(%),Energy_Procurement_Costs,Revenues,Energy_Distributed
0,utility_0,0.0,687,0.0,29472.3,0.0,0.0
0,utility_1,0.0,228,0.0,7077.200000000001,0.0,0.0
1,utility_0,1.0,0,0.0,0.0,1732.0000000000002,19.681818181818183
1,utility_1,1.0,0,0.0,0.0,1911.6999999999998,21.723863636363635
2,utility_0,0.0,0,0.0,0.0,0.0,0.0
2,utility_1,1.0,0,0.0,0.0,5528.19649571857,62.820414724074666
3,utility_0,0.0,0,0.0,0.0,0.0,0.0
3,utility_1,0.0,0,0.0,0.0,0.0,0.0
4,utility_0,0.0,0,0.0,0.0,0.0,0.0
4,utility_1,0.0,0,0.0,0.0,0.0,0.0
